Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal
288,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",Ross,anger,negative,28,2,4,15,"0:19:19,673","0:19:19,821",0,1
289,"And its all because of you, wonderful, amazing you.",Ross,joy,positive,28,3,4,15,"00:19:27,916","00:19:29,917",1,1
290,I think youve got concussion.,Emily,fear,negative,28,4,4,15,"00:19:30,085","00:19:34,839",0,1
291,"No, no, Im serious. Thank you.",Ross,joy,positive,28,5,4,15,"00:19:35,007","00:19:37,592",1,1
292,Youre welcome.  Im sorry. Did I hurt you?,Emily,fear,negative,28,6,4,15,"00:19:38,802","00:19:46,142",0,1
293,"Its worth the pain.  Yknow what, you know what? Its not.",Ross,sadness,negative,28,7,4,15,"00:19:47,728","00:19:50,021",0,0
295,"I do! Want a hint? huh? ""I do""  ""I do"".",Chandler,joy,positive,29,1,9,23,"00:08:26,839","00:08:31,426",1,1
297,David is going to propose to Phoebe.,Chandler,joy,positive,29,3,9,23,"0:08:44,083","0:08:45,668",1,1
300,"Chandler, we have talked about this.",Monica,anger,negative,29,6,9,23,"00:08:54,575","00:08:56,952",0,1
301,You are not supposed to give people advice!,Monica,anger,negative,29,7,9,23,"00:08:57,119","00:08:59,871",0,1
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,anger,negative,29,8,9,23,"00:09:01,541","00:09:04,209",0,1
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,anger,negative,29,10,9,23,"00:09:09,924","00:09:16,555",0,1
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,anger,negative,29,11,9,23,"00:09:16,722","00:09:26,356",0,1
309,It-its great to meet you Paul.,Ross,joy,positive,30,1,6,21,"00:04:23,429","00:04:25,847",1,1
312,"So Ross, what your problem?",Paul,anger,negative,30,4,6,21,"00:04:33,189","00:04:37,901",0,1
314,Why cant you get a girlfriend your own age?,Paul,anger,negative,30,6,6,21,"00:04:41,281","00:04:43,282",0,1
315,Thats funny. Umm.  Its not funny.,Ross,fear,negative,30,7,6,21,"00:04:43,992","00:04:52,374",0,1
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,negative,30,11,6,21,"00:04:55,461","00:05:00,799",0,1
322,Okay. Ill give you one chance to change my mind.  You got one minute.,Paul,anger,negative,30,14,6,21,"00:05:03,594","00:05:09,057",0,1
339,You have to tell her!,Ross,joy,positive,32,10,1,12,"0:11:35,824","0:11:36,658",1,1
340,You have to tell her!,Ross,joy,positive,32,11,1,12,"00:11:36,779","00:11:39,531",1,1
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",Ross,anger,negative,32,12,1,12,"00:11:36,779","00:11:43,076",0,1
342,Guys?,Ross,anger,negative,32,13,1,12,"0:11:39,699","0:11:40,033",0,1
343,Guys?,Ross,anger,negative,32,14,1,12,"0:11:40,033","0:11:43,147",0,1
346,She is gonna hate me.,Phoebe,fear,negative,32,17,1,12,"00:11:48,833","00:11:50,083",0,1
328,Will you marry me?,Chandler,fear,negative,33,0,6,24,"00:03:44,724","00:03:49,102",0,1
329,Its the big night! We wanted to wish you good luck!,Joey,joy,positive,33,1,6,24,"00:04:01,741","00:04:03,951",1,1
336,You are beautiful.,Chandler,joy,positive,33,8,6,24,"00:04:28,142","00:04:32,020",1,1
337,"Oh, thank you!   Whats going on?",Monica,joy,positive,33,9,6,24,"00:04:37,402","00:04:44,616",1,1
342,Yep! That's hilarious!,Ross,joy,positive,34,3,5,23,"00:14:37,918","00:14:40,086",1,1
352,Hey lady! I don't care how much you want it! Okay?! I am,Ross,disgust,negative,34,13,5,23,"00:15:02,234","00:15:06,029",0,1
354,I did it!,Phoebe,joy,positive,35,1,7,9,"0:21:26,494","0:21:27,676",1,1
355,I rode a bike!,Phoebe,joy,positive,35,2,7,9,"0:21:27,676","0:21:28,010",1,1
356,I never thought Id be able to do that!,Phoebe,joy,positive,35,3,7,9,"0:21:28,120","0:21:30,342",1,1
357,Thank you Ross.,Phoebe,joy,positive,35,4,7,9,"0:21:30,342","0:21:31,300",1,1
358,"Oh hey, dont thank me, thank yourself. Youre the one who faced her fears and ultimately overcame them.",Ross,joy,positive,35,5,7,9,"00:21:31,456","00:21:37,837",1,1
366,What a baby.,Chandler,sadness,negative,36,4,4,22,"0:21:28,287","0:21:28,999",0,0
367,Total wuss!,Ross,sadness,negative,36,5,4,22,"0:21:28,999","0:21:30,933",0,0
392,Wow! This looks great!,Joey,joy,positive,37,1,7,19,"00:15:47,529","00:15:48,905",1,1
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,positive,37,2,7,19,"00:15:49,073","00:15:53,910",1,1
394,And-and-and-and-and the toothpicks?,Joey,disgust,negative,37,3,7,19,"00:15:54,078","00:15:56,871",0,1
395,You kissed another woman!,Monica,anger,negative,38,0,8,2,"00:20:20,844","00:20:23,012",0,1
397,Okay!,Monica,joy,positive,38,2,8,2,"0:20:25,660","0:20:26,370",1,1
401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",Ross,anger,negative,38,6,8,2,"00:20:37,611","00:20:45,743",0,1
407,Happy?! Is that what Im supposed to be Vic? Happy?,Kate,anger,negative,39,0,3,19,"00:11:00,868","00:11:03,912",0,1
408,"Well, why dont you tell me what youre supposed to be!",Joey,anger,negative,39,1,3,19,"0:11:05,623","0:11:07,515",0,1
410,Because I sure as hell cant figure it out!,Joey,anger,negative,39,3,3,19,"00:11:08,376","00:11:10,835",0,1
411,I talk to you and nothin.,Joey,anger,negative,39,4,3,19,"00:11:11,003","00:11:13,421",0,1
412,"You look at me, and its nothin.",Joey,anger,negative,39,5,3,19,"0:11:13,589","0:11:15,258",0,1
413,Nothing.,Joey,anger,negative,39,6,3,19,"0:11:15,258","0:11:16,114",0,1
414,"Tasty! Im really starting to feel like you guys have a history, its-its nice.",The Director,joy,positive,39,7,3,19,"00:11:23,057","00:11:30,021",1,1
417,"Well, I dont understand why Adriennes attracted to Victor.",Kate,disgust,negative,39,10,3,19,"00:11:32,692","00:11:37,112",0,1
422,"Ah, its says so in the script!",Joey,anger,negative,39,15,3,19,"00:11:47,123","00:11:59,467",0,1
423,"Y'know ah, I-I dont know why my character likes you either, I mean it says in the script here that youre a bitch.",Joey,anger,negative,39,16,3,19,"00:11:53,295","00:12:02,929",0,1
424,It doesnt say that in the script.,Kate,anger,negative,39,17,3,19,"0:12:00,177","0:12:02,529",0,1
425,It does in mine!,Joey,anger,negative,39,18,3,19,"0:12:02,529","0:12:02,973",0,1
426,I cant,Phoebe,anger,negative,40,0,8,4,"00:04:36,859","00:04:40,237",0,1
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,Joey,anger,negative,40,1,8,4,"00:04:40,405","00:04:43,532",0,1
432,Yeah! Ask them if they brought their friends any souvenirs!,Joey,joy,positive,40,6,8,4,"00:04:55,169","00:04:57,421",1,1
434,"Hey, hang up! You get food poisoning just talkin to that place.",Joey,disgust,negative,40,8,8,4,"00:05:06,681","00:05:10,726",0,1
435,"Uh sorry, wrong number.",Monica,fear,negative,40,9,8,4,"0:05:10,977","0:05:12,187",0,1
438,All right! Ill have a sandwich!,Joey,joy,positive,40,12,8,4,"00:05:19,777","00:05:21,945",1,1
439,I dont think this numbers right!,Monica,sadness,negative,40,13,8,4,"00:05:22,864","00:05:24,448",0,0
440,Oh come on!!,Rachel,sadness,negative,40,14,8,4,"00:05:25,908","00:05:28,118",0,0
441,"Gotta go. I miss you too, I love you, but it's getting real late now",Mr. Tribbiani,sadness,negative,41,0,1,13,"00:04:41,281","00:04:49,162",0,0
453,You're one to talk.,Joey,disgust,negative,41,12,1,13,"0:05:47,514","0:05:47,871",0,1
455,Oh man. Please tell me one of 'em is Ma.,Joey,disgust,negative,41,14,1,13,"00:05:55,605","00:05:58,648",0,1
471,"Dude, I am sorry about what I said!",Joey,sadness,negative,45,0,4,18,"00:16:58,976","00:17:01,936",0,0
472,"No, no, youre right, it is a ridiculous name!",Chandler,disgust,negative,45,1,4,18,"00:17:02,104","00:17:05,106",0,1
474,"Yes it is! From now on, I have no first name.",Chandler,anger,negative,45,3,4,18,"00:17:09,361","00:17:12,321",0,1
476,Because we won our apartment back!,Monica,joy,positive,46,0,4,19,"00:12:41,177","00:12:42,927",1,1
478,"No! Ace is low! Ace, two, three, four!",Monica,anger,negative,46,2,4,19,"00:12:46,432","00:12:49,184",0,1
482,Come on apartment! Come on apartment!  Oh! I know queen is high!,Rachel,anger,negative,46,6,4,19,"00:13:11,332","00:13:19,589",0,1
484,Yeah baby!,Chandler,joy,positive,46,8,4,19,"00:13:23,969","00:13:26,596",1,1
485,"But, we pick again! We pick again!",Monica,joy,positive,46,9,4,19,"00:13:27,223","00:13:28,932",1,1
487,I dont know!,Monica,fear,negative,46,11,4,19,"0:13:29,767","0:13:30,673",0,1
488,Tickets please!  Thats courtside baby!,Chandler,joy,positive,46,12,4,19,"00:13:32,561","00:13:39,317",1,1
490,No they didnt!,Chandler,joy,positive,46,14,4,19,"00:13:48,285","00:13:49,619",1,1
498,"No, no wait, for get them, we got one, hard left.",Joey,joy,positive,47,7,2,6,"00:06:28,346","00:06:31,765",1,1
506,"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",Joey,joy,positive,47,15,2,6,"00:06:55,832","00:06:59,126",1,1
507,What'd I tell you? What'd I tell you?,Joey,joy,positive,47,16,2,6,"00:07:04,298","00:07:05,674",1,1
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,negative,49,2,6,18,"00:13:02,364","00:13:06,951",0,1
513,"Well Ross, you be careful now. You dont want to get a reputation as yknow Professor McNailshisstudents.",Monica,joy,positive,49,3,6,18,"00:13:10,039","00:13:15,001",1,1
514,Yeah. What-what should I do?,Ross,fear,negative,49,4,6,18,"0:13:17,963","0:13:19,590",0,1
519,Joey that is so sweet.,Monica,joy,positive,49,9,6,18,"0:13:26,534","0:13:28,570",1,1
522,I couldnt do it.,Chandler,sadness,negative,49,12,6,18,"0:13:40,402","0:13:41,464",0,0
531,Ah whatever!,Joey,anger,negative,49,21,6,18,"0:14:03,061","0:14:04,360",0,1
532,"Morning! Hey, hows my favorite genius and my little robot buddy?!",Joey,joy,positive,50,0,6,21,"00:14:11,308","00:14:15,436",1,1
533,Dont touch him!,Wayne,anger,negative,50,1,6,21,"0:14:15,604","0:14:18,816",0,1
538,I-I keep hearing all these rumors that I might get fired.,Joey,fear,negative,50,5,6,21,"00:14:19,859","00:14:24,279",0,1
539,"Okay, they even have actors coming in to read for my part!",Joey,fear,negative,50,6,6,21,"00:14:24,446","00:14:27,657",0,1
540,"Come on man, you-you got to give me a second chance!",Joey,sadness,negative,50,7,6,21,"00:14:27,825","00:14:30,326",0,0
541,"I mean, I love-I love this little guy!",Joey,joy,positive,50,8,6,21,"0:14:30,494","0:14:31,956",1,1
546,Stupid!,Joey,anger,negative,50,13,6,21,"0:14:39,795","0:14:41,881",0,1
548,God!,Joey,anger,negative,50,15,6,21,"0:14:42,215","0:14:42,929",0,1
551,"Hi. Look um, about what happened earlier...",Rachel,sadness,negative,51,1,3,15,"00:11:10,086","00:11:14,839",0,0
553,I was gonna give you a chance to apologise to me.,Rachel,disgust,negative,51,3,3,15,"00:11:22,431","00:11:25,433",0,1
554,For what? For letting you throw me out of your office?,Ross,anger,negative,51,4,3,15,"00:11:26,018","00:11:28,645",0,1
555,You had no,Rachel,anger,negative,51,5,3,15,"00:11:28,938","00:11:31,981",0,1
556,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",Ross,anger,negative,51,6,3,15,"00:11:40,616","00:11:45,745",0,1
557,"But I told you, I didnt have the time!",Rachel,anger,negative,51,7,3,15,"00:11:47,206","00:11:49,958",0,1
558,"Yeah, well you never have the time. I mean, I dont feel like I even have a girlfriend anymore, Rachel.",Ross,anger,negative,51,8,3,15,"00:11:50,126","00:11:54,587",0,1
559,"Wh, Ross what do you want from me?",Rachel,anger,negative,51,9,3,15,"00:11:54,755","00:11:56,423",0,1
560,"You want me, you want me to quit my job so you can feel like you have a girlfriend?",Rachel,anger,negative,51,10,3,15,"00:11:56,590","00:11:59,467",0,1
562,"Ooh, I have to tell you something.",Phoebe,joy,positive,52,1,3,21,"00:12:56,400","00:12:57,942",1,1
573,Hi!,Richard,joy,positive,53,0,6,24,"00:20:42,741","00:20:45,159",1,1
574,Richard!,Monica,joy,positive,53,1,6,24,"00:20:45,911","00:20:47,161",1,1
579,"Well, it was great seeing you the other night.",Richard,joy,positive,53,6,6,24,"00:20:58,674","00:21:01,384",1,1
581,No! I came here to tell you something else.  I came here  to tell you I still love you.,Richard,joy,positive,53,8,6,24,"00:21:06,932","00:21:15,481",1,1
582,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,negative,54,0,8,10,"00:19:18,574","00:19:27,123",0,1
583,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,negative,54,1,8,10,"00:19:27,291","00:19:29,876",0,0
584,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I cant!",Joey,anger,negative,54,2,8,10,"00:19:30,043","00:19:40,803",0,1
585,"Joey, I am scared to death about this.",Dina,fear,negative,54,3,8,10,"00:19:40,971","00:19:43,764",0,1
586,"But I really think I can do it, Im just gonna need some help.",Dina,fear,negative,54,4,8,10,"00:19:43,932","00:19:46,642",0,1
588,"You bet I am!  And to answer your earlier question, were straight-up gangster rap.",Bobby,joy,positive,54,6,8,10,"00:19:50,939","00:19:55,943",1,1
589,"Look, Rachels told me how much easier youve made all this on her. Why cant you do that for me?",Dina,anger,negative,54,7,8,10,"00:19:59,698","00:20:07,445",0,1
590,Because! Cause Cause youre my baby sister!,Joey,sadness,negative,54,8,8,10,"00:20:07,623","00:20:09,582",0,0
