Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,Sequence_Length,facial_feature,audio_feature
339,You have to tell her!,Ross,joy,positive,32,10,1,12,"0:11:35,824","0:11:36,658",1,1,13,0,0,1,-0.33290082,-0.181127768
8701,I don't know you guys.,Ross,fear,negative,869,8,3,12,"00:12:55,149","00:12:57,776",0,1,216,0.656626506,0,2,0.432450616,-0.282732803
3972,"Hey everybody, Pheebs is here!",Ross,joy,positive,406,0,5,2,"00:15:41,273","00:15:43,608",1,1,103,0,0,1,-0.091533415,0.032709072
5272,"I was really nervous and the accent just uh, just came out.",Ross,sadness,negative,531,5,6,4,"00:20:21,428","00:20:25,806",0,0,123,0.656626506,0,3,0.206558765,-0.281459756
650,"and then, we couldve gone from the ceremony to the reception with you in the sidecar!",Ross,joy,positive,63,0,8,18,"00:19:36,622","00:19:42,794",1,1,20,0,0,1,0.217385435,0.60996019
230,"When this day is over, you get to go home with the baby, ok?",Ross,anger,negative,19,9,1,23,"00:14:41,046","00:14:43,631",0,1,8,0.82278481,0,7,-0.09918528,-0.031644752
2665,"Oh, why dont you make her one of your little jokes.",Ross,anger,negative,264,7,6,17,"00:09:49,630","00:09:52,048",0,1,71,0,0,1,0.543987708,-0.272169539
833,Its just if-if we got together again and it didnt work outI could never do that to Emma.,Ross,sadness,negative,77,13,8,24,"00:18:07,658","00:18:16,624",0,0,27,0.691887227,0,4,0.135545039,0.37580556
6596,Lets also get a hot plate!,Ross,joy,positive,655,15,6,18,"00:21:15,649","00:21:19,318",1,1,157,0,0.46401174,3,0.236748242,0.530004082
2749,What difference does that make?!,Ross,anger,negative,275,0,5,11,"00:14:48,679","00:14:51,306",0,1,74,0,0,1,0.337549423,-0.064449476
9177,"No I meanNo not you, not you, youyou",Ross,fear,negative,916,12,8,11,"00:13:24,887","00:13:29,849",0,1,225,0,0.562737643,1,0.482392876,0.611862199
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",0,1,5,0.656626506,0,2,-0.364378703,0.248561012
227,"No no no, believe me.",Ross,anger,negative,19,6,1,23,"0:14:35,833","0:14:37,095",0,1,8,0.82278481,0,5,0.290727041,0.085534795
468,Nevermind!,Ross,anger,negative,44,1,5,17,"00:13:17,630","00:13:18,922",0,1,16,0,0,1,0.09019068,-0.057178221
1425,Nuh-uh.,Ross,fear,negative,147,4,1,5,"00:07:27,864","00:07:28,989",0,1,35,0,0,1,-0.152063486,-0.27613686
113,"Well, apparently not, and I cant just stand by and watch two people I care about very much be hurt over something that is so silly.",Ross,sadness,negative,12,2,6,3,"00:12:44,805","00:12:53,271",0,0,3,0.721649485,0,2,-0.145480836,0.020222222
6285,My mommies love me. That's clever.,Ross,joy,positive,629,8,2,2,"00:08:05,693","00:08:12,407",1,1,150,0,0.562737643,5,0.645771361,0.499078482
2956,"Okay, that's great.  No, I'm- Oh.",Ross,joy,positive,296,11,1,2,"00:15:09,450","00:15:14,704",1,1,76,0.656626506,0,1,-0.356197071,-0.26949314
6214,Yeah!,Ross,joy,positive,623,10,4,22,"0:12:23,242","0:12:23,576",1,1,148,0,0.562737643,5,-0.266666436,0.263278329
5201,"Oh no, no, no, wait, wait, Isabella.",Ross,joy,positive,526,5,3,5,"00:20:36,652","00:20:40,821",1,1,122,0,0.562737643,3,-0.58700273,-0.225747894
4790,"Hey, this-  Heyy...",Ross,joy,positive,485,0,1,1,"00:13:13,000","00:13:38,775",1,1,116,0,0,1,-0.417140931,-0.264555937
8861,Thats why Im here.,Ross,anger,negative,887,11,6,17,"0:19:53,125","0:19:54,611",0,1,217,0.656626506,0,2,-0.159572354,-0.222641779
7631,"Uh-oh, uh-oh, the laundry's done.",Ross,fear,negative,767,6,1,5,"00:16:35,744","00:16:41,457",0,1,188,0.656626506,0,2,0.570921365,-0.284580531
2546,"He's in! Oh, did you hear that, Marcel? San Diego. San Diego!",Ross,joy,positive,252,17,1,21,"00:15:12,995","00:15:19,584",1,1,67,0,0,1,-0.467488858,0.238321933
7521,"Look Ben, it's a toy that protects U.S. oil interests overseas!",Ross,joy,positive,753,2,3,4,"00:14:38,460","00:14:42,255",1,1,186,0,0,1,-0.502909496,-0.078666219
8255,"Hey, hey, hey, that's not the rule and you know it.",Ross,anger,negative,828,15,1,5,"00:11:32,650","00:11:36,653",0,1,202,0.656626506,0,2,-0.508147734,-0.068578101
9994,"Do you my sisters teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh?",Ross,anger,negative,996,4,4,23,"00:11:00,493","00:11:10,710",0,1,246,0.28141136,0,2,0.168583076,0.02666413
410,"Hello, baby. Hello, hello.",Ross,joy,positive,34,10,1,9,"00:15:06,071","00:15:10,742",1,1,13,0.82278481,0,1,0.091278752,0.324521788
8503,"I mean look at him, look at you,",Ross,disgust,negative,849,7,5,18,"00:04:23,972","00:04:25,222",0,1,207,0,0.562737643,1,-0.435173334,-0.091827554
556,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",Ross,anger,negative,51,6,3,15,"00:11:40,616","00:11:45,745",0,1,19,0.656626506,0,2,-0.046608858,-0.18701747
9663,"Uh actually, I think I'm gonna skip it.",Ross,sadness,negative,961,8,5,12,"00:06:19,253","00:06:22,172",0,0,234,0.656626506,0,3,-0.227103197,0.062381615
1963,"Yeah, well missy, you better be glad that list is laminated.",Ross,anger,negative,195,14,3,5,"00:19:23,245","00:19:28,749",0,1,51,0.238773275,0,2,0.515269969,0.099457601
7186,And dont you follow me!,Ross,anger,negative,716,5,7,7,"00:10:49,315","00:10:51,691",0,1,174,0.656626506,0,4,-0.310739849,-0.153453209
1103,"The big deal is I dont want naked, greasy strangers in my apartment when I want to kick back with a puzzlebeer! Cold beer.",Ross,disgust,negative,112,4,7,2,"00:06:59,669","00:07:07,175",0,1,29,0.656626506,0,2,-0.227733364,-0.286003562
5538,"Oh! Wow! Uh, yeah! That sounds great. Im just gonna put this  back in my pocket, pretend",Ross,joy,positive,557,5,8,21,"00:10:31,506","00:10:35,927",1,1,129,0,0,1,0.603328407,0.109019792
9552,"But, it's only the second day and I'm a loser with stupid leather pants that don't even fit!",Ross,disgust,negative,950,3,5,11,"00:18:06,376","00:18:12,465",0,1,229,0.656626506,0,2,0.507975102,0.299608512
1366,Hi Jill!,Ross,joy,positive,139,3,6,13,"0:18:59,012","0:19:00,013",1,1,34,0,0,1,0.298606755,-0.054152389
4971,"Okay,  I cant imagine, I cant imagine my life without you.",Ross,fear,negative,506,1,3,16,"00:20:47,579","00:20:50,581",0,1,120,0.656626506,0,2,0.181755655,-0.264185164
4615,Uh yes! Thank you.,Ross,joy,positive,471,4,8,23,"0:06:34,099","0:06:35,150",1,1,112,0.656626506,0,1,-0.313659031,0.610550733
719,"Okay, I know what I have to do. Ive got to go Red Ross.  Yknow, Red Ross!",Ross,anger,negative,73,8,4,15,"00:11:57,717","00:12:01,094",0,1,16,0,0,1,-0.212495465,0.025452928
7002,"Monica, youre so lucky! Hes like the most popular guy in school!!",Ross,joy,positive,689,8,4,2,"00:01:58,827","00:02:02,538",1,1,167,0,0,1,-0.033119256,-0.042768784
293,"Its worth the pain.  Yknow what, you know what? Its not.",Ross,sadness,negative,28,7,4,15,"00:19:47,728","00:19:50,021",0,0,11,0,0.321564367,1,0.301044949,-0.233366354
832,"And then apart, and then together, and then apart, and now we have a baby.",Ross,sadness,negative,77,12,8,24,"00:18:00,192","00:18:04,738",0,0,27,0.756072528,0,3,-0.109467432,0.582217969
7337,I didnt get the annulment.,Ross,sadness,negative,733,10,6,1,"00:21:05,597","00:21:07,723",0,0,179,0,0.562737643,1,-0.486092194,-0.205464388
7365,"I just, I had to see you one more time before you took-off.",Ross,joy,positive,736,2,4,17,"00:08:54,951","00:08:57,786",1,1,181,0,0.562737643,2,-0.133049208,-0.221586972
896,"What a beautiful story. Hey, I'm fine by the way.",Ross,joy,positive,87,9,1,5,"00:22:18,003","00:22:23,090",1,1,25,0.656626506,0,1,0.085174316,-0.273445483
6960,"Come on, they're gonna love you.",Ross,joy,positive,683,0,1,24,"00:21:51,226","00:21:52,768",1,1,166,0,0,1,-0.405955956,-0.091892249
275,"My marriage, I think my marriage is um, is kinda over.",Ross,sadness,negative,23,2,3,6,"00:17:27,337","00:17:34,135",0,0,10,0,0,1,-0.029001883,-0.330515361
1410,That bitch!,Ross,anger,negative,144,4,7,11,"00:17:33,093","00:17:34,302",0,1,36,0.721649485,0,3,-0.478116436,0.279696064
9700,"Well, y'know how I'm trying to work things out with Emily.",Ross,joy,positive,964,2,5,5,"0:06:35,395","0:06:40,109",1,1,236,0,0,1,0.143605489,-0.218729055
7056,"Y'know, hey! Youre the one who ended it, remember?",Ross,anger,negative,698,0,3,25,"00:16:23,607","00:16:25,650",0,1,169,0,0,1,-0.453733994,-0.210842803
6065,"No, it's ok! Made me feel like a rock star!",Ross,joy,positive,610,4,9,23,"00:30:52,725","00:30:55,686",1,1,147,0,0.562737643,2,0.699803537,-0.200803621
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,"00:10:03,144","00:10:13,403",1,1,10,0,0,1,0.64482025,0.60710197
533,"Fine, Im mentally unstable.",Ross,anger,negative,54,3,6,5,"00:10:42,433","00:10:45,602",0,1,11,0,0,1,-0.545167072,-0.083000905
408,I feel stupid.,Ross,sadness,negative,34,8,1,9,"0:14:59,023","0:15:00,168",0,0,13,0.82278481,0,3,0.629968821,-0.296900055
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,"00:14:18,023","00:14:20,817",0,1,39,0.656626506,0,2,0.530458931,0.295723029
1202,Okay?,Ross,anger,negative,123,2,9,17,"0:05:12,342","0:05:12,561",0,1,32,0.656626506,0,2,-0.239833574,-0.014480026
9094,Joey!,Ross,anger,negative,908,13,7,12,"00:03:27,457","00:03:29,499",0,1,222,0.656626506,0,2,-0.516544668,-0.137158688
6213,"Yknow, one of them had never been to a bachelor party before.",Ross,joy,positive,623,9,4,22,"00:12:19,989","00:12:23,074",1,1,148,0,0.562737643,4,-0.377779865,-0.209481672
8698,What am I going to do?,Ross,fear,negative,869,5,3,12,"00:12:44,221","00:12:45,430",0,1,216,0,0,1,0.619034147,-0.031161194
3634,And!! Isabella Rosselini.,Ross,joy,positive,361,10,3,5,"00:08:52,865","00:08:55,116",1,1,93,0,0.562737643,2,-0.552531536,-0.050263309
10281,You bug me.,Ross,disgust,negative,1021,5,3,19,"0:12:17,037","0:12:18,284",0,1,253,0,0,1,-0.4685118,-0.285059613
9684,"Hey, its been like three weeks!",Ross,anger,negative,963,8,3,19,"00:12:58,569","00:13:00,528",0,1,235,0.656626506,0,5,-0.169742391,-0.198050686
4960,Why dont you   Wh-whats going on?,Ross,fear,negative,505,6,7,2,"00:02:13,508","00:02:14,925",0,1,119,0,0,1,0.32871962,-0.208839252
8501,"Yeah well, he's not gonna get this one.",Ross,joy,positive,849,5,5,18,"00:04:20,176","00:04:23,804",1,1,207,0,0.562737643,2,0.361269603,0.139471966
9132,What is she trying to kill me?,Ross,anger,negative,912,3,5,11,"0:09:14,768","0:09:16,279",0,1,224,0,0,1,0.682985527,0.524173139
6814,Done!,Ross,joy,positive,672,2,4,1,"00:07:21,357","00:07:22,691",1,1,161,0,0,1,-0.197013993,-0.206352871
6877,You have no idea what a nightmare this has been. This is so hard.,Ross,sadness,negative,676,9,5,5,"00:11:03,996","00:11:09,042",0,0,163,0.656626506,0,4,-0.464847257,-0.187071734
8682,I have a bone to pick with you.,Ross,anger,negative,867,1,7,16,"00:06:03,654","00:06:06,239",0,1,215,0,0,1,-0.387624361,-0.275033053
9659,No! No! No!,Ross,anger,negative,961,4,5,12,"0:06:05,615","0:06:07,137",0,1,234,0,0,1,0.608007242,0.342009829
3531,"Im sorry. Dr. Green, Mona. Mona, Dr. Green.",Ross,joy,positive,351,15,8,8,"00:12:15,276","00:12:18,820",1,1,89,0.328313253,0,1,0.210638405,0.650202624
2430,"Sure, your dresser is missing but this she notices.",Ross,anger,negative,244,15,3,6,"00:03:23,077","00:03:25,871",0,1,54,0,0,1,-0.560032567,-0.141607881
7421,"Look, all my stuff is safe and dry and all hers is-is, is growing new stuff!",Ross,anger,negative,740,2,7,13,"00:12:09,019","00:12:16,359",0,1,183,0,0,1,0.208420315,-0.194328816
3377,They call me: 'Cookie Dude!',Ross,joy,positive,336,18,3,10,"00:13:25,304","00:13:28,973",1,1,84,0,0.506463878,4,-0.131956819,0.42896192
5369,Hey there little fella!,Ross,joy,positive,541,5,6,15,"00:14:12,309","00:14:15,854",1,1,125,0.574548193,0,1,0.018704039,0.621011647
9970,"We're sorry, Pheebs, we're sorry.",Ross,sadness,negative,992,10,1,13,"00:16:19,103","00:16:20,478",0,0,244,0,0,1,-0.068128082,-0.253592701
49,"It, it's too late, I'm with somebody else, I'm happy.",Ross,anger,negative,5,6,2,7,"00:19:15,821","00:19:20,741",0,1,3,0.82278481,0,5,-0.365813096,0.155514626
1432,"Ok, ok, now what is wrong with my",Ross,anger,negative,147,11,1,5,"00:07:56,017","00:07:58,810",0,1,35,0.656626506,0,2,0.32195908,-0.230412327
2073,"What. Oh no, you just rolled over the juice box.",Ross,sadness,negative,207,1,2,15,"00:20:53,418","00:20:58,673",0,0,51,0,0,1,-0.047895452,-0.100926583
8271,"No, hey, I get that, okay, I get that big time.",Ross,anger,negative,831,4,3,15,"00:12:17,111","00:12:19,654",0,1,203,0,0,1,-0.077804772,-0.217258336
1935,Yes!,Ross,joy,positive,192,4,8,7,"0:21:35,054","0:21:35,801",1,1,50,0,0.401955459,2,-0.146697652,0.397554814
2018,Its-its too soon.,Ross,fear,negative,201,5,6,19,"00:10:30,296","00:10:31,463",0,1,53,0.656626506,0,3,-0.249060555,-0.229167958
6376,"Uh actually, I sent the flowers before the actual date. So technically,",Ross,anger,negative,637,1,7,17,"00:14:14,478","00:14:19,482",0,1,152,0,0,1,-0.093590562,-0.204684895
1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,"00:20:43,492","00:20:49,080",0,1,43,0,0,1,0.411386661,-0.329974627
8288,"She seems really great, but shes like totally great, but she lives two and a half hours away.",Ross,joy,positive,832,13,4,10,"00:00:47,255","00:00:50,632",1,1,204,0,0.425179552,3,-0.384102002,-0.187245406
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,"00:05:42,133","00:05:48,305",0,0,42,0.656626506,0,2,-0.214320211,0.051948912
10098,"Some little girl loaned her uniform to her nineteen year old sister, who went down to the U.S.S.",Ross,sadness,negative,1007,2,3,10,"00:18:34,238","00:18:42,245",0,0,248,0.656626506,0,2,0.294121133,-0.242482341
277,"Cause Carols a lesbian.  And, and Im not one. And apparently its not a mix and match situation.",Ross,sadness,negative,23,4,3,6,"00:17:34,303","00:17:49,484",0,0,10,0.82278481,0,2,-0.316636083,-0.105638606
381,"I mean, the fact that you are here means more    to me than if this room were filled with people!",Ross,joy,positive,31,10,9,17,"00:22:54,110","00:22:59,517",1,1,11,0,0.347826087,5,-0.169864101,-0.007074283
304,"No, but I want...I want the pinecones!",Ross,joy,positive,29,7,9,19,"0:17:22,270","0:17:25,107",1,1,6,0,0,1,-0.139171324,-0.325903398
9678,I knew it!,Ross,anger,negative,963,2,3,19,"0:12:49,310","0:12:49,936",0,1,235,0,0,1,0.002951083,-0.141128875
9661,"I was up all night writing this really nasty letter to Emily! It was perfect and now it's all covered in-in  Actually, thanks!",Ross,sadness,negative,961,6,5,12,"00:06:07,867","00:06:16,249",0,0,234,0.656626506,0,2,0.103802879,0.192365549
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",1,1,5,0.656626506,0,1,-0.457508216,-0.311287368
8564,Hey! I did not dump Rachel!  Nor are we still together.  Can I just  Why dont we just let the machine get that?,Ross,anger,negative,854,3,8,8,"00:13:27,389","00:13:40,652",0,1,209,0,0,1,-0.06222834,0.610443485
677,Hey! Guess what I got for your wedding!,Ross,joy,positive,63,0,7,20,"00:09:56,137","00:09:57,846",1,1,20,0,0,1,-0.517276604,-0.275403227
558,"Yeah, well you never have the time. I mean, I dont feel like I even have a girlfriend anymore, Rachel.",Ross,anger,negative,51,8,3,15,"00:11:50,126","00:11:54,587",0,1,19,0.656626506,0,3,0.02570979,-0.233838153
3434,"Wait a minute, I-I believe Im entitled to use my Angel Pass for a free turn?",Ross,joy,positive,342,5,8,20,"00:07:40,031","00:07:43,618",1,1,86,0,0,1,0.541026369,0.623046908
976,"Hey Pheebs, could you please not put your feet up on my newold sheet?",Ross,disgust,negative,92,1,6,11,"00:12:11,564","00:12:16,735",0,1,33,0,0,1,0.574344647,-0.249264641
1113,Its a great class.,Ross,joy,positive,117,1,6,17,"0:19:02,933","0:19:03,855",1,1,29,0,0,1,-0.101175304,0.479563851
8442,"Now, I look around this cafeteria, and yknow what I see, I see-I see division.",Ross,sadness,negative,844,5,4,11,"00:17:18,787","00:17:22,999",0,0,205,0,0,1,0.332487076,0.298744519
3615,"No, no, that-that, thats all right. Umm, Im just glad you called.",Ross,joy,positive,359,4,4,17,"00:14:45,009","00:14:54,809",1,1,91,0,0,1,0.052382613,-0.252246941
10102,"Oh, come here sweetie, listen, youre gonna go on like a thousand interviews before you get a job.",Ross,sadness,negative,1007,6,3,10,"00:18:49,878","00:18:58,511",0,0,248,0.656626506,0,4,0.512023992,-0.321928862
10200,"Y'know I dont, I dont need them, huh, Ive got you guys now as friends, you and Susan.",Ross,anger,negative,1016,3,3,17,"00:14:53,517","00:14:58,229",0,1,251,0.656626506,0,4,-0.581705784,-0.327995741
3570,"Aww, is it broken?",Ross,sadness,negative,356,6,3,3,"00:01:28,296","00:01:30,089",0,0,90,0,0,1,0.364693846,-0.297953701
1952,'Cause I-I got nothing!,Ross,anger,negative,196,6,5,4,"0:15:20,544","0:15:22,129",0,1,48,0.721649485,0,5,-0.217456802,0.275451102
